End of Watch|movie,3.56258799162
The Devil's Advocate|movie,3.55995268645
Rango|movie,3.55986573002
Mission: Impossible -- Ghost Protocol|movie,3.55692509193
Harry Potter and the Chamber of Secrets|movie,3.55681567431
Apollo 13|movie,3.55673417674
The Aviator|movie,3.55667658539
Shrek 2|movie,3.54884684419
Big|movie,3.54726991628
Lethal Weapon|movie,3.54702335101
Pineapple Express|movie,3.54246346207
Transformers|movie,3.53590342449
Blow|movie,3.53146373723
Mission: Impossible|movie,3.52953661829
A Few Good Men|movie,3.52625723523
Goldfinger|movie,3.52609390186
Spider-Man 2|movie,3.52430704416
Underworld|movie,3.52093644084
Misery|movie,3.50995075506
Face/Off|movie,3.50967131392
Law Abiding Citizen|movie,3.50913095612
Mean Girls|movie,3.50814023373
Real Steel|movie,3.50673969767
Back to the Future Part III|movie,3.50406831456
Boyz N the Hood|movie,3.50317776525
The 40-Year-Old Virgin|movie,3.49379158399
Wall Street|movie,3.49351264843
The Matrix Reloaded|movie,3.49302369248
P.S. I Love You|movie,3.49002644026
Dawn of the Dead|movie,3.48918253765
Pirates of the Caribbean: At World's End|movie,3.487658216
Rio|movie,3.48565023003
The Crow|movie,3.48564422117
Cars|movie,3.48246301078
Who Framed Roger Rabbit|movie,3.48128199688
21 Jump Street|movie,3.4733872994
Fast Five|movie,3.46755319498
Flight|movie,3.46685463236
The Bucket List|movie,3.46542983357
Rush Hour|movie,3.46490928877
Shooter|movie,3.45941284691
Brave|movie,3.45932158882
The Amazing Spider-Man|movie,3.45872001421
A Bug's Life|movie,3.45731816023
The Hunt for Red October|movie,3.45634895015
Dazed and Confused|movie,3.45312229657
Live Free or Die Hard|movie,3.45084206169
The Passion of the Christ|movie,3.44597080295
Wedding Crashers|movie,3.4407651485
Knocked Up|movie,3.43765124204
Prometheus|movie,3.43020826061
A Bronx Tale|movie,3.4299916324
Pretty Woman|movie,3.42992776423
Speed|movie,3.42802799907
Charlie and the Chocolate Factory|movie,3.42594723397
Cloudy With a Chance of Meatballs|movie,3.42308108634
Rise of the Guardians|movie,3.42209479734
Blazing Saddles|movie,3.42061845954
Forgetting Sarah Marshall|movie,3.41997123956
The Mummy|movie,3.41895132882
Anchorman: The Legend of Ron Burgundy|movie,3.41262813418
Unbreakable|movie,3.41132223358
Master and Commander: The Far Side of the World|movie,3.40870288198
Jerry Maguire|movie,3.40147887168
Stargate|movie,3.40139907896
Iron Man 2|movie,3.40134949597
Cloverfield|movie,3.40064753271
Super 8|movie,3.40041763409
Enemy of the State|movie,3.39957555348
Ghostbusters|movie,3.39867533194
Resident Evil|movie,3.39779883598
Happy Feet|movie,3.3949487495
Starship Troopers|movie,3.39070421935
The Emperor's New Groove|movie,3.38912036827
Independence Day|movie,3.38840189768
Oblivion|movie,3.38804209065
Easy A|movie,3.38769251752
Red|movie,3.38452824991
Tombstone|movie,3.3839661235
Scooby-Doo|movie,3.3825190726
The Lincoln Lawyer|movie,3.38246672878
Tropic Thunder|movie,3.38217740449
Kung Fu Panda 2|movie,3.37501285368
Ace Ventura: Pet Detective|movie,3.37495564799
The Italian Job|movie,3.37187268439
There's Something About Mary|movie,3.37088142259
Wanted|movie,3.36983480191
The Expendables 2|movie,3.36967857851
Die Hard 2|movie,3.36898044245
In Time|movie,3.3677103571
Enter the Dragon|movie,3.36571179019
Red Dragon|movie,3.36567207478
True Lies|movie,3.36007192916
GoldenEye|movie,3.36004759338
8 Mile|movie,3.35501116087
The Cabin in the Woods|movie,3.3544817629
National Lampoon's Christmas Vacation|movie,3.35306078751
Legends of the Fall|movie,3.35017789996
Old School|movie,3.34924609668
Prince of Persia: The Sands of Time|movie,3.34557658264
Meet the Parents|movie,3.34515164696
The Devil Wears Prada|movie,3.34308697187
Invictus|movie,3.33976823496
The Patriot|movie,3.33747042985
50 First Dates|movie,3.33609713708
Top Gun|movie,3.33495004771
Batman Returns|movie,3.33335119264
Public Enemies|movie,3.33218063391
The Adjustment Bureau|movie,3.33088285158
Ronin|movie,3.32966145294
Star Trek: First Contact|movie,3.32948766359
Happy Gilmore|movie,3.32833805839
Hellboy II: The Golden Army|movie,3.3262887642
Erin Brockovich|movie,3.32555951161
The Transporter|movie,3.32386231436
The School of Rock|movie,3.32312141349
Napoleon Dynamite|movie,3.32265052066
Bruce Almighty|movie,3.3224664064
Warm Bodies|movie,3.31450079259
National Lampoon's Animal House|movie,3.31301265879
The Proposal|movie,3.312555617
Pitch Black|movie,3.31176664531
The Book of Eli|movie,3.31117942466
Déjà Vu|movie,3.30805520921
Yes Man|movie,3.30651764501
